Country,Country BM,Country BS,Country BR,Rank,Average,BM,BS,BR,Math,Science,Reading,BM Sets Clear Goals,BM Encourages Thinking,BM Summarizes Lessons,BM Reflect Problems,BM Wait Until its Quiet,BM HW Not Back in Time,BM Express Opinions,BM Teachers Are Interested,BS Sets Clear Goals,BS Encourages Thinking,BS Summarizes Lessons,BS Reflect Problems,BS Wait Until its Quiet,BS HW Not Back in Time,BS Express Opinions,BS Teachers Are Interested,BR Sets Clear Goals,BR Encourages Thinking,BR Summarizes Lessons,BR Reflect Problems,BR Wait Until its Quiet,BR HW Not Back in Time,BR Express Opinions,BR Teachers Are Interested
Slovenia,Lithuania,Iceland,Lithuania,39,481,479,479,478,485,496,462,78.08,58.18,68.32,71.42,45.48,49.48,78.02,77.95,78.35,57.35,50.7,64.1,50.39,48.1,77.91,76.55,78.08,58.18,68.32,71.42,45.48,49.48,78.02,77.95
Israel,Croatia,Slovak Republic,Greece,40,478,470,477,478,469,474,492,79.99,57.73,65.96,66.3,52.67,41.71,76.17,72.93,74.56,58.85,60.78,68.52,52.93,49.61,73.49,72.03,77.83,68.54,61.5,74.33,53.96,57.18,78.7,73.28
Slovak Republic,Israel,Israel,Turkey,41,477,469,474,476,486,477,469,76.23,74.07,58.61,74.47,47.24,44.19,76.69,75.57,76.23,74.07,58.61,74.47,47.24,44.19,76.69,75.57,73.95,79,68.22,65.62,51.51,60.38,80.48,74.84
Greece,Greece,Greece,Slovak Republic,42,467,454,468,469,454,468,478,77.83,68.54,61.5,74.33,53.96,57.18,78.7,73.28,77.83,68.54,61.5,74.33,53.96,57.18,78.7,73.28,74.56,58.85,60.78,68.52,52.93,49.61,73.49,72.03
Turkey,Turkey,Chile,Slovenia,43,463,449,465,462,449,464,476,73.95,79,68.22,65.62,51.51,60.38,80.48,74.84,81.67,63.92,64.73,71.82,57.93,50.81,77.74,79.12,73.42,70.52,63.38,67.29,52.21,44.11,75.12,66.75
Chile,Serbia,Turkey,Chile,44,457,448,464,460,445,465,460,78.95,63.53,70.3,66.61,52.5,64.9,77.27,74.53,73.95,79,68.22,65.62,51.51,60.38,80.48,74.84,81.67,63.92,64.73,71.82,57.93,50.81,77.74,79.12
Thailand,Romania,Thailand,Thailand,45,451,446,457,453,442,457,453,79.39,65.53,68.15,73.27,49.08,69.55,79.52,81.02,82.32,72.85,76.53,63.64,51.02,44.67,84.3,78.78,82.32,72.85,76.53,63.64,51.02,44.67,84.3,78.78
Serbia,Chile,Bulgaria,Serbia,46,446,445,451,446,448,444,446,81.67,63.92,64.73,71.82,57.93,50.81,77.74,79.12,81.06,69.56,75.58,81.31,52.01,57.52,81.1,76.01,78.95,63.53,70.3,66.61,52.5,64.9,77.27,74.53
Bulgaria,Bulgaria,United Arab Emirates,Bulgaria,47,446,443,446,443,443,451,443,81.06,69.56,75.58,81.31,52.01,57.52,81.1,76.01,80.7,69.89,73.28,74.94,53.15,47.99,78.12,79.35,81.06,69.56,75.58,81.31,52.01,57.52,81.1,76.01
Romania,Thailand,Serbia,Costa Rica,48,442,442,444,441,446,440,440,82.32,72.85,76.53,63.64,51.02,44.67,84.3,78.78,78.95,63.53,70.3,66.61,52.5,64.9,77.27,74.53,80.05,60.83,61.88,63.62,48.06,42.75,80.23,82.24
United Arab Emirates,United Arab Emirates,Romania,Romania,49,439,432,440,440,432,446,438,80.7,69.89,73.28,74.94,53.15,47.99,78.12,79.35,79.39,65.53,68.15,73.27,49.08,69.55,79.52,81.02,79.39,65.53,68.15,73.27,49.08,69.55,79.52,81.02
Costa Rica,Kazakhstan,Costa Rica,United Arab Emirates,50,426,432,430,438,407,430,441,85.04,76.76,83.17,76.47,39.39,52.97,85.63,85.63,80.05,60.83,61.88,63.62,48.06,42.75,80.23,82.24,80.7,69.89,73.28,74.94,53.15,47.99,78.12,79.35
Mexico,Malaysia,Kazakhstan,Mexico,51,423,423,427,430,419,420,430,77,57.15,70.73,69.38,54.13,48.93,79.97,79.32,85.04,76.76,83.17,76.47,39.39,52.97,85.63,85.63,81.57,69.05,66.1,72.22,46.25,46.39,83.38,81.6
Kazakhstan,Mexico,Malaysia,Montenegro,52,418,419,422,420,432,427,395,81.57,69.05,66.1,72.22,46.25,46.39,83.38,81.6,77,57.15,70.73,69.38,54.13,48.93,79.97,79.32,82.52,70.7,62.39,64.29,47.75,63.25,78.31,76.83
Malaysia,Uruguay,Mexico,Colombia,53,415,411,420,415,423,422,401,76.86,63.47,67.52,72.61,58.86,50.6,81.19,77.86,81.57,69.05,66.1,72.22,46.25,46.39,83.38,81.6,79.01,71.05,67.27,71.32,49.72,62.69,82.22,81.92
Uruguay,Costa Rica,Uruguay,Uruguay,54,415,407,419,414,411,419,414,80.05,60.83,61.88,63.62,48.06,42.75,80.23,82.24,76.86,63.47,67.52,72.61,58.86,50.6,81.19,77.86,76.86,63.47,67.52,72.61,58.86,50.6,81.19,77.86
Montenegro,Montenegro,Argentina,Argentina,55,412,407,411,404,407,409,420,82.52,70.7,62.39,64.29,47.75,63.25,78.31,76.83,77.82,64.03,64.94,70.92,60.79,49.46,78.17,74.88,77.82,64.03,64.94,70.92,60.79,49.46,78.17,74.88
Argentina,Argentina,Montenegro,Tunisia,56,404,396,409,404,396,411,404,77.82,64.03,64.94,70.92,60.79,49.46,78.17,74.88,82.52,70.7,62.39,64.29,47.75,63.25,78.31,76.83,78.04,65.61,68.03,66.11,57.1,65.66,78.19,69.44
Colombia,Albania,Colombia,Malaysia,57,404,396,409,401,387,409,415,87.19,80.56,80.06,78.12,43.16,69.72,87.15,83.27,79.01,71.05,67.27,71.32,49.72,62.69,82.22,81.92,77,57.15,70.73,69.38,54.13,48.93,79.97,79.32
Albania,Tunisia,Jordan,Brazil,58,398,388,405,401,396,400,397,78.04,65.61,68.03,66.11,57.1,65.66,78.19,69.44,82.61,74.68,77.3,81.03,56.32,61.35,81.7,73.8,80.89,69.4,64.17,72.5,56.18,48.53,80.08,77.79
Tunisia,Colombia,Albania,Indonesia,59,397,387,400,398,388,398,404,79.01,71.05,67.27,71.32,49.72,62.69,82.22,81.92,87.19,80.56,80.06,78.12,43.16,69.72,87.15,83.27,78.09,71.13,72.76,77.73,50.97,57.15,84.37,81.79
Jordan,Jordan,Tunisia,Albania,60,395,383,398,397,383,405,396,82.61,74.68,77.3,81.03,56.32,61.35,81.7,73.8,78.04,65.61,68.03,66.11,57.1,65.66,78.19,69.44,87.19,80.56,80.06,78.12,43.16,69.72,87.15,83.27
Brazil,Brazil,Brazil,Jordan,61,393,383,396,396,383,396,401,80.89,69.4,64.17,72.5,56.18,48.53,80.08,77.79,80.89,69.4,64.17,72.5,56.18,48.53,80.08,77.79,82.61,74.68,77.3,81.03,56.32,61.35,81.7,73.8
Indonesia,Indonesia,Qatar,Kazakhstan,62,386,377,384,395,377,383,398,78.09,71.13,72.76,77.73,50.97,57.15,84.37,81.79,82.42,71.64,70.98,76.76,59.4,56.4,75.39,76.59,85.04,76.76,83.17,76.47,39.39,52.97,85.63,85.63
Qatar,Qatar,Indonesia,Qatar,63,383,377,383,388,377,384,388,82.42,71.64,70.98,76.76,59.4,56.4,75.39,76.59,78.09,71.13,72.76,77.73,50.97,57.15,84.37,81.79,82.42,71.64,70.98,76.76,59.4,56.4,75.39,76.59
Peru,Peru,Peru,Peru,64,376,368,374,385,368,374,385,79.89,68.3,65.34,74.72,45.91,67.84,82.87,81.1,79.89,68.3,65.34,74.72,45.91,67.84,82.87,81.1,79.89,68.3,65.34,74.72,45.91,67.84,82.87,81.1
,,,,65,350,350,350,350,350,350,350,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,,,,65,650,650,650,650,650,650,650,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
